日期,天气,行动前区域,所在区域,行动,购买水量,购买食物量,剩余资金数,剩余水量,剩余食物量,总负重kg
0,—,1,1,起点采购,178,333,5780,178,333,1200
1,高温,1,25,行走,0,0,5780,162,321,1128
2,高温,25,24,行走,0,0,5780,146,309,1056
3,晴朗,24,23,行走,0,0,5780,136,295,998
4,沙暴,23,23,停留,0,0,5780,126,285,948
5,晴朗,23,21,行走,0,0,5780,116,271,890
6,高温,21,9,行走,0,0,5780,100,259,818
7,沙暴,9,9,停留,0,0,5780,90,249,768
8,晴朗,9,15,行走,163,0,4150,243,235,1199
9,高温,15,13,行走,0,0,4150,227,223,1127
10,高温,13,12,行走,0,0,4150,211,211,1055
11,沙暴,12,12,停留,0,0,4150,201,201,1005
12,高温,12,12,挖矿,0,0,5150,177,183,897
13,晴朗,12,12,挖矿,0,0,6150,162,162,810
14,高温,12,12,挖矿,0,0,7150,138,144,702
15,高温,12,12,挖矿,0,0,8150,114,126,594
16,高温,12,12,挖矿,0,0,9150,90,108,486
17,沙暴,12,12,停留,0,0,9150,80,98,436
18,沙暴,12,12,挖矿,0,0,10150,50,68,286
19,高温,12,12,挖矿,0,0,11150,26,50,178
20,高温,12,13,行走,0,0,11150,10,38,106
21,晴朗,13,15,行走,36,16,10470,36,40,188
22,晴朗,15,9,行走,0,0,10470,26,26,130
23,高温,9,21,行走,0,0,10470,10,14,58
24,晴朗,21,27,行走,0,0,10470,0,0,0
