日期,天气,行动前区域,所在区域,行动,购买水量,购买食物量,剩余资金数,剩余水量,剩余食物量,总负重kg
0,—,1,1,起点采购,130,405,5300,130,405,1200
1,高温,1,9,行走,0,0,5300,114,393,1128
2,高温,9,18,行走,0,0,5300,98,381,1056
3,晴朗,18,26,行走,0,0,5300,88,367,998
4,沙暴,26,26,停留,0,0,5300,78,357,948
5,晴朗,26,27,行走,0,0,5300,68,343,890
6,高温,27,36,行走,0,0,5300,52,331,818
7,沙暴,36,36,停留,0,0,5300,42,321,768
8,晴朗,36,37,行走,0,0,5300,32,307,710
9,高温,37,38,行走,0,0,5300,16,295,638
10,高温,38,39,行走,10,0,5200,10,283,596
11,沙暴,39,39,停留,218,0,3020,218,273,1200
12,高温,39,30,行走,0,0,3020,202,261,1128
13,晴朗,30,30,挖矿,0,0,4020,187,240,1041
14,高温,30,30,挖矿,0,0,5020,163,222,933
15,高温,30,30,挖矿,0,0,6020,139,204,825
16,高温,30,30,挖矿,0,0,7020,115,186,717
17,沙暴,30,30,挖矿,0,0,8020,85,156,567
18,沙暴,30,30,挖矿,0,0,9020,55,126,417
19,高温,30,39,行走,157,86,5730,196,200,988
20,高温,39,46,行走,0,0,5730,180,188,916
21,晴朗,46,55,行走,0,0,5730,170,174,858
22,晴朗,55,55,挖矿,0,0,6730,155,153,771
23,高温,55,55,挖矿,0,0,7730,131,135,663
24,晴朗,55,55,挖矿,0,0,8730,116,114,576
25,沙暴,55,55,挖矿,0,0,9730,86,84,426
26,高温,55,55,挖矿,0,0,10730,62,66,318
27,晴朗,55,55,挖矿,0,0,11730,47,45,231
28,晴朗,55,55,挖矿,0,0,12730,32,24,144
29,高温,55,56,行走,0,0,12730,16,12,72
30,高温,56,64,行走,0,0,12730,0,0,0
