扫描维度,参数值,更新顺序,均衡类型,收敛,迭代次数,epsilon,玩家1财富,玩家2财富,玩家1到达日,玩家2到达日,玩家1策略,玩家2策略
R,0,1-2,pure,True,1,0.0,9510.0,9535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
R,100,1-2,pure,True,1,0.0,9510.0,9535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
R,200,1-2,pure,True,1,0.0,9510.0,9535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
R,300,1-2,pure,True,1,0.0,9510.0,9535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
R,400,1-2,pure,True,1,0.0,9535.0,9675.0,4,8,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13,1:1-行走-2;2:2-行走-3;3:3-行走-9;4:9-挖矿-9;5:9-挖矿-9;6:9-挖矿-9;7:9-行走-11;8:11-行走-13
M,1000,1-2,pure,True,1,0.0,9510.0,9535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
M,1200,1-2,pure,True,1,0.0,9510.0,9535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
M,1400,1-2,pure,True,1,0.0,9510.0,9535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
C0,8000,1-2,pure,True,1,0.0,7510.0,7535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
C0,10000,1-2,pure,True,1,0.0,9510.0,9535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
C0,12000,1-2,pure,True,1,0.0,11510.0,11535.0,3,4,1:1-行走-5;2:5-行走-6;3:6-行走-13,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13
更新顺序,1-0,2-1,pure,True,1,0.0,9535.0,9510.0,4,3,1:1-行走-4;2:4-停留-4;3:4-行走-6;4:6-行走-13,1:1-行走-5;2:5-行走-6;3:6-行走-13
