天数,当天天气,玩家,行动前节点,行动,目的节点,购买水,购买食物,消耗倍数,耗水,耗食物,购买支出,挖矿收入,行动后节点,剩余水,剩余食物,剩余现金,已到终点,均衡类型,当日epsilon
1,高温,1,1,行走,6,0,0,2,18,18,0.0,0.0,6,213,213,6535.0,False,pure,0.0
1,高温,2,1,行走,2,0,0,2,18,18,0.0,0.0,2,213,213,6535.0,False,pure,0.0
1,高温,3,1,停留,,0,0,1,9,9,0.0,0.0,1,222,222,6535.0,False,pure,0.0
2,高温,1,6,行走,11,0,0,2,18,18,0.0,0.0,11,195,195,6535.0,False,pure,0.0
2,高温,2,2,行走,7,0,0,2,18,18,0.0,0.0,7,195,195,6535.0,False,pure,0.0
2,高温,3,1,行走,6,0,0,2,18,18,0.0,0.0,6,204,204,6535.0,False,pure,0.0
3,晴朗,1,11,行走,16,0,0,2,6,8,0.0,0.0,16,189,187,6535.0,False,pure,0.0
3,晴朗,2,7,行走,12,0,0,2,6,8,0.0,0.0,12,189,187,6535.0,False,pure,0.0
3,晴朗,3,6,行走,11,0,0,2,6,8,0.0,0.0,11,198,196,6535.0,False,pure,0.0
4,沙暴,1,16,停留,,0,0,1,10,10,0.0,0.0,16,179,177,6535.0,False,pure,0.0
4,沙暴,2,12,停留,,0,0,1,10,10,0.0,0.0,12,179,177,6535.0,False,pure,0.0
4,沙暴,3,11,停留,,0,0,1,10,10,0.0,0.0,11,188,186,6535.0,False,pure,0.0
5,晴朗,1,16,行走,17,0,0,2,6,8,0.0,0.0,17,173,169,6535.0,False,pure,0.0
5,晴朗,2,12,行走,17,0,0,2,6,8,0.0,0.0,17,173,169,6535.0,False,pure,0.0
5,晴朗,3,11,行走,16,0,0,2,6,8,0.0,0.0,16,182,178,6535.0,False,pure,0.0
6,高温,1,17,行走,18,0,0,2,18,18,0.0,0.0,18,155,151,6535.0,False,pure,0.0
6,高温,2,17,停留,,0,0,1,9,9,0.0,0.0,17,164,160,6535.0,False,pure,0.0
6,高温,3,16,行走,17,0,0,2,18,18,0.0,0.0,17,164,160,6535.0,False,pure,0.0
7,沙暴,1,18,挖矿,,0,0,3,30,30,0.0,1000.0,18,125,121,7535.0,False,pure,0.0
7,沙暴,2,17,停留,,0,0,1,10,10,0.0,0.0,17,154,150,6535.0,False,pure,0.0
7,沙暴,3,17,停留,,0,0,1,10,10,0.0,0.0,17,154,150,6535.0,False,pure,0.0
8,晴朗,1,18,挖矿,,0,0,3,9,12,0.0,1000.0,18,116,109,8535.0,False,pure,0.0
8,晴朗,2,17,行走,18,0,0,4,12,16,0.0,0.0,18,142,134,6535.0,False,pure,0.0
8,晴朗,3,17,行走,18,0,0,4,12,16,0.0,0.0,18,142,134,6535.0,False,pure,0.0
9,高温,1,18,行走,23,0,0,2,18,18,0.0,0.0,23,98,91,8535.0,False,pure,0.0
9,高温,2,18,挖矿,,0,0,3,27,27,0.0,1000.0,18,115,107,7535.0,False,pure,0.0
9,高温,3,18,停留,,0,0,1,9,9,0.0,0.0,18,133,125,6535.0,False,pure,0.0
10,高温,1,23,行走,24,0,0,2,18,18,0.0,0.0,24,80,73,8535.0,False,pure,0.0
10,高温,2,18,行走,23,0,0,2,18,18,0.0,0.0,23,97,89,7535.0,False,pure,0.0
10,高温,3,18,挖矿,,0,0,3,27,27,0.0,1000.0,18,106,98,7535.0,False,pure,0.0
11,沙暴,1,24,停留,,0,0,1,10,10,0.0,0.0,24,70,63,8535.0,False,pure,0.0
11,沙暴,2,23,停留,,0,0,1,10,10,0.0,0.0,23,87,79,7535.0,False,pure,0.0
11,沙暴,3,18,停留,,0,0,1,10,10,0.0,0.0,18,96,88,7535.0,False,pure,0.0
12,高温,1,24,行走,25,0,0,2,18,18,0.0,0.0,25,52,45,8535.0,True,pure,0.0
12,高温,2,23,行走,24,0,0,2,18,18,0.0,0.0,24,69,61,7535.0,False,pure,0.0
12,高温,3,18,行走,23,0,0,2,18,18,0.0,0.0,23,78,70,7535.0,False,pure,0.0
13,晴朗,1,25,退出,,0,0,0,0,0,0.0,0.0,25,52,45,8535.0,True,pure,0.0
13,晴朗,2,24,行走,25,0,0,2,6,8,0.0,0.0,25,63,53,7535.0,True,pure,0.0
13,晴朗,3,23,行走,24,0,0,2,6,8,0.0,0.0,24,72,62,7535.0,False,pure,0.0
14,高温,1,25,退出,,0,0,0,0,0,0.0,0.0,25,52,45,8535.0,True,pure,0.0
14,高温,2,25,退出,,0,0,0,0,0,0.0,0.0,25,63,53,7535.0,True,pure,0.0
14,高温,3,24,行走,25,0,0,2,18,18,0.0,0.0,25,54,44,7535.0,True,pure,0.0
