初始水,初始食物,水偏移,食物偏移,可行,最坏财富下界,策略类别,是否推荐点
229,229,-2,-2,True,6805.0,先村庄后矿山,False
229,230,-2,-1,True,6815.0,先村庄后矿山,False
229,231,-2,0,True,6825.0,先村庄后矿山,False
229,232,-2,1,True,6835.0,先村庄后矿山,False
229,233,-2,2,True,6845.0,先村庄后矿山,False
230,229,-1,-2,True,6810.0,先村庄后矿山,False
230,230,-1,-1,True,6820.0,先村庄后矿山,False
230,231,-1,0,True,6830.0,先村庄后矿山,False
230,232,-1,1,True,6840.0,先村庄后矿山,False
230,233,-1,2,True,6850.0,先村庄后矿山,False
231,229,0,-2,True,6815.0,先村庄后矿山,False
231,230,0,-1,True,6825.0,先村庄后矿山,False
231,231,0,0,True,7535.0,经矿山,True
231,232,0,1,True,7530.0,经矿山,False
231,233,0,2,True,7525.0,经矿山,False
232,229,1,-2,True,6820.0,先村庄后矿山,False
232,230,1,-1,True,6830.0,先村庄后矿山,False
232,231,1,0,True,7532.5,经矿山,False
232,232,1,1,True,7527.5,经矿山,False
232,233,1,2,True,7522.5,经矿山,False
233,229,2,-2,True,6825.0,先村庄后矿山,False
233,230,2,-1,True,6835.0,先村庄后矿山,False
233,231,2,0,True,7530.0,经矿山,False
233,232,2,1,True,7525.0,经矿山,False
233,233,2,2,True,7520.0,经矿山,False
