情景编号,天气序列,是否成功,到达日,在线终端财富,Oracle终端财富,Regret
1,SSSSSSSSSS,True,3,9430.0,9670.0,240.0
2,SSSSSSSSSH,True,3,9430.0,9670.0,240.0
3,SSSSSSSSHS,True,3,9430.0,9670.0,240.0
4,SSSSSSSSHH,True,3,9430.0,9670.0,240.0
5,SSSSSSSHSS,True,3,9430.0,9670.0,240.0
6,SSSSSSSHSH,True,3,9430.0,9670.0,240.0
7,SSSSSSSHHS,True,3,9430.0,9670.0,240.0
8,SSSSSSSHHH,True,3,9430.0,9670.0,240.0
9,SSSSSSHSSS,True,3,9430.0,9670.0,240.0
10,SSSSSSHSSH,True,3,9430.0,9670.0,240.0
11,SSSSSSHSHS,True,3,9430.0,9670.0,240.0
12,SSSSSSHSHH,True,3,9430.0,9670.0,240.0
13,SSSSSSHHSS,True,3,9430.0,9670.0,240.0
14,SSSSSSHHSH,True,3,9430.0,9670.0,240.0
15,SSSSSSHHHS,True,3,9430.0,9670.0,240.0
16,SSSSSSHHHH,True,3,9430.0,9670.0,240.0
17,SSSSSHSSSS,True,3,9430.0,9670.0,240.0
18,SSSSSHSSSH,True,3,9430.0,9670.0,240.0
19,SSSSSHSSHS,True,3,9430.0,9670.0,240.0
20,SSSSSHSSHH,True,3,9430.0,9670.0,240.0
21,SSSSSHSHSS,True,3,9430.0,9670.0,240.0
22,SSSSSHSHSH,True,3,9430.0,9670.0,240.0
23,SSSSSHSHHS,True,3,9430.0,9670.0,240.0
24,SSSSSHSHHH,True,3,9430.0,9670.0,240.0
25,SSSSSHHSSS,True,3,9430.0,9670.0,240.0
26,SSSSSHHSSH,True,3,9430.0,9670.0,240.0
27,SSSSSHHSHS,True,3,9430.0,9670.0,240.0
28,SSSSSHHSHH,True,3,9430.0,9670.0,240.0
29,SSSSSHHHSS,True,3,9430.0,9670.0,240.0
30,SSSSSHHHSH,True,3,9430.0,9670.0,240.0
31,SSSSSHHHHS,True,3,9430.0,9670.0,240.0
32,SSSSSHHHHH,True,3,9430.0,9670.0,240.0
33,SSSSHSSSSS,True,3,9430.0,9670.0,240.0
34,SSSSHSSSSH,True,3,9430.0,9670.0,240.0
35,SSSSHSSSHS,True,3,9430.0,9670.0,240.0
36,SSSSHSSSHH,True,3,9430.0,9670.0,240.0
37,SSSSHSSHSS,True,3,9430.0,9670.0,240.0
38,SSSSHSSHSH,True,3,9430.0,9670.0,240.0
39,SSSSHSSHHS,True,3,9430.0,9670.0,240.0
40,SSSSHSSHHH,True,3,9430.0,9670.0,240.0
41,SSSSHSHSSS,True,3,9430.0,9670.0,240.0
42,SSSSHSHSSH,True,3,9430.0,9670.0,240.0
43,SSSSHSHSHS,True,3,9430.0,9670.0,240.0
44,SSSSHSHSHH,True,3,9430.0,9670.0,240.0
45,SSSSHSHHSS,True,3,9430.0,9670.0,240.0
46,SSSSHSHHSH,True,3,9430.0,9670.0,240.0
47,SSSSHSHHHS,True,3,9430.0,9670.0,240.0
48,SSSSHSHHHH,True,3,9430.0,9670.0,240.0
49,SSSSHHSSSS,True,3,9430.0,9670.0,240.0
50,SSSSHHSSSH,True,3,9430.0,9670.0,240.0
51,SSSSHHSSHS,True,3,9430.0,9670.0,240.0
52,SSSSHHSSHH,True,3,9430.0,9670.0,240.0
53,SSSSHHSHSS,True,3,9430.0,9670.0,240.0
54,SSSSHHSHSH,True,3,9430.0,9670.0,240.0
55,SSSSHHSHHS,True,3,9430.0,9670.0,240.0
56,SSSSHHSHHH,True,3,9430.0,9670.0,240.0
57,SSSSHHHSSS,True,3,9430.0,9670.0,240.0
58,SSSSHHHSSH,True,3,9430.0,9670.0,240.0
59,SSSSHHHSHS,True,3,9430.0,9670.0,240.0
60,SSSSHHHSHH,True,3,9430.0,9670.0,240.0
61,SSSSHHHHSS,True,3,9430.0,9670.0,240.0
62,SSSSHHHHSH,True,3,9430.0,9670.0,240.0
63,SSSSHHHHHS,True,3,9430.0,9670.0,240.0
64,SSSSHHHHHH,True,3,9430.0,9670.0,240.0
65,SSSHSSSSSS,True,3,9430.0,9670.0,240.0
66,SSSHSSSSSH,True,3,9430.0,9670.0,240.0
67,SSSHSSSSHS,True,3,9430.0,9670.0,240.0
68,SSSHSSSSHH,True,3,9430.0,9670.0,240.0
69,SSSHSSSHSS,True,3,9430.0,9670.0,240.0
70,SSSHSSSHSH,True,3,9430.0,9670.0,240.0
71,SSSHSSSHHS,True,3,9430.0,9670.0,240.0
72,SSSHSSSHHH,True,3,9430.0,9670.0,240.0
73,SSSHSSHSSS,True,3,9430.0,9670.0,240.0
74,SSSHSSHSSH,True,3,9430.0,9670.0,240.0
75,SSSHSSHSHS,True,3,9430.0,9670.0,240.0
76,SSSHSSHSHH,True,3,9430.0,9670.0,240.0
77,SSSHSSHHSS,True,3,9430.0,9670.0,240.0
78,SSSHSSHHSH,True,3,9430.0,9670.0,240.0
79,SSSHSSHHHS,True,3,9430.0,9670.0,240.0
80,SSSHSSHHHH,True,3,9430.0,9670.0,240.0
81,SSSHSHSSSS,True,3,9430.0,9670.0,240.0
82,SSSHSHSSSH,True,3,9430.0,9670.0,240.0
83,SSSHSHSSHS,True,3,9430.0,9670.0,240.0
84,SSSHSHSSHH,True,3,9430.0,9670.0,240.0
85,SSSHSHSHSS,True,3,9430.0,9670.0,240.0
86,SSSHSHSHSH,True,3,9430.0,9670.0,240.0
87,SSSHSHSHHS,True,3,9430.0,9670.0,240.0
88,SSSHSHSHHH,True,3,9430.0,9670.0,240.0
89,SSSHSHHSSS,True,3,9430.0,9670.0,240.0
90,SSSHSHHSSH,True,3,9430.0,9670.0,240.0
91,SSSHSHHSHS,True,3,9430.0,9670.0,240.0
92,SSSHSHHSHH,True,3,9430.0,9670.0,240.0
93,SSSHSHHHSS,True,3,9430.0,9670.0,240.0
94,SSSHSHHHSH,True,3,9430.0,9670.0,240.0
95,SSSHSHHHHS,True,3,9430.0,9670.0,240.0
96,SSSHSHHHHH,True,3,9430.0,9670.0,240.0
97,SSSHHSSSSS,True,3,9430.0,9670.0,240.0
98,SSSHHSSSSH,True,3,9430.0,9670.0,240.0
99,SSSHHSSSHS,True,3,9430.0,9670.0,240.0
100,SSSHHSSSHH,True,3,9430.0,9670.0,240.0
101,SSSHHSSHSS,True,3,9430.0,9670.0,240.0
