日期,天气历史,当天气,行动,目标节点,鲁棒价值,名义价值
1,S,晴朗,行走,5,9269.999999999996,9325.361781076066
1,H,高温,行走,5,9190.0,9256.58795749705
2,SS,晴朗,行走,6,9349.999999999996,9372.857142857143
2,SH,高温,行走,6,9269.999999999996,9306.363636363636
2,HS,晴朗,行走,6,9269.999999999998,9292.857142857143
2,HH,高温,行走,6,9190.0,9226.363636363636
3,SSS,晴朗,行走,13,9430.0,9430.0
3,SSH,高温,行走,13,9349.999999999996,9350.0
3,SHS,晴朗,行走,13,9349.999999999998,9350.0
3,SHH,高温,行走,13,9269.999999999996,9270.0
3,HSS,晴朗,行走,13,9350.0,9350.0
3,HSH,高温,行走,13,9269.999999999998,9270.0
3,HHS,晴朗,行走,13,9270.0,9270.0
3,HHH,高温,行走,13,9190.0,9190.0
4,SSSS,晴朗,终止,13,9430.0,9430.0
4,SSSH,高温,终止,13,9430.0,9430.0
4,SSHS,晴朗,终止,13,9350.0,9350.0
4,SSHH,高温,终止,13,9349.999999999996,9350.0
4,SHSS,晴朗,终止,13,9350.0,9350.0
4,SHSH,高温,终止,13,9349.999999999998,9350.0
4,SHHS,晴朗,终止,13,9269.999999999996,9269.999999999998
4,SHHH,高温,终止,13,9269.999999999998,9270.0
4,HSSS,晴朗,终止,13,9350.0,9350.0
4,HSSH,高温,终止,13,9350.0,9350.0
4,HSHS,晴朗,终止,13,9270.0,9270.0
4,HSHH,高温,终止,13,9269.999999999998,9270.0
4,HHSS,晴朗,终止,13,9270.0,9270.0
4,HHSH,高温,终止,13,9270.0,9270.0
4,HHHS,晴朗,终止,13,9190.0,9190.0
4,HHHH,高温,终止,13,9190.0,9190.0
5,SSSSS,晴朗,终止,13,9430.0,9430.0
5,SSSSH,高温,终止,13,9430.0,9430.0
5,SSSHS,晴朗,终止,13,9430.0,9430.0
5,SSSHH,高温,终止,13,9430.0,9430.0
5,SSHSS,晴朗,终止,13,9350.0,9350.0
5,SSHSH,高温,终止,13,9350.0,9350.0
5,SSHHS,晴朗,终止,13,9349.999999999996,9349.999999999998
5,SSHHH,高温,终止,13,9349.999999999998,9350.0
5,SHSSS,晴朗,终止,13,9350.0,9350.0
5,SHSSH,高温,终止,13,9350.0,9350.0
5,SHSHS,晴朗,终止,13,9349.999999999998,9349.999999999998
5,SHSHH,高温,终止,13,9350.0,9350.0
5,SHHSS,晴朗,终止,13,9269.999999999998,9269.999999999998
5,SHHSH,高温,终止,13,9269.999999999996,9269.999999999998
5,SHHHS,晴朗,终止,13,9269.999999999998,9270.0
5,SHHHH,高温,终止,13,9269.999999999998,9270.0
5,HSSSS,晴朗,终止,13,9350.0,9350.0
5,HSSSH,高温,终止,13,9350.0,9350.0
5,HSSHS,晴朗,终止,13,9350.0,9350.0
5,HSSHH,高温,终止,13,9350.0,9350.0
5,HSHSS,晴朗,终止,13,9270.0,9270.0
5,HSHSH,高温,终止,13,9270.0,9270.0
5,HSHHS,晴朗,终止,13,9269.999999999998,9270.0
5,HSHHH,高温,终止,13,9269.999999999998,9270.0
5,HHSSS,晴朗,终止,13,9270.0,9270.0
5,HHSSH,高温,终止,13,9270.0,9270.0
5,HHSHS,晴朗,终止,13,9270.0,9270.0
5,HHSHH,高温,终止,13,9270.0,9270.0
5,HHHSS,晴朗,终止,13,9190.0,9190.0
5,HHHSH,高温,终止,13,9190.0,9190.0
5,HHHHS,晴朗,终止,13,9190.0,9190.0
5,HHHHH,高温,终止,13,9190.0,9190.0
6,SSSSSS,晴朗,终止,13,9430.0,9430.0
6,SSSSSH,高温,终止,13,9430.0,9430.0
6,SSSSHS,晴朗,终止,13,9430.0,9430.0
6,SSSSHH,高温,终止,13,9430.0,9430.0
6,SSSHSS,晴朗,终止,13,9430.0,9430.0
6,SSSHSH,高温,终止,13,9430.0,9430.0
6,SSSHHS,晴朗,终止,13,9430.0,9430.0
6,SSSHHH,高温,终止,13,9430.0,9430.0
6,SSHSSS,晴朗,终止,13,9350.0,9350.0
6,SSHSSH,高温,终止,13,9350.0,9350.0
6,SSHSHS,晴朗,终止,13,9350.0,9350.0
6,SSHSHH,高温,终止,13,9350.0,9350.0
6,SSHHSS,晴朗,终止,13,9350.0,9350.0
