Gamma,初购水,初购食物,初购后现金,成功率,成功样本平均财富,5%分位财富,平均Regret
0,144,144,7840,0.1427,8090.035038542396,7920.0,250.03503854239665
1,154,154,7690,0.4066,7964.4675356615835,7770.0,274.46753566158384
2,164,164,7540,0.6638,7850.8609520940045,7695.0,310.86095209400423
3,174,174,7390,0.8339,7748.477635208059,7550.0,358.47763520805853
4,184,184,7240,0.929,7655.058127018299,7465.0,415.0581270182993
5,194,194,7090,0.9721,7569.7284230017485,7325.0,479.7284230017488
6,204,204,6940,0.9884,7489.813334682315,7250.0,549.8133346823148
7,214,214,6790,0.9956,7412.078646042587,7170.0,622.0786460425874
8,224,224,6640,0.9987,7335.731951536998,7095.0,695.731951536998
9,234,234,6490,0.9998,7260.204040808162,7020.0,770.2040408081616
