参数,参数值,初购水,初购食物,初购后现金,成功率,成功样本平均财富,5%分位财富,平均Regret
负重M,1080,204,204,6940,0.9884,7489.813334682315,7250.0,549.8133346823148
负重M,1140,204,204,6940,0.9884,7489.813334682315,7250.0,549.8133346823148
负重M,1260,204,204,6940,0.9884,7489.813334682315,7250.0,549.8133346823148
负重M,1320,204,204,6940,0.9884,7489.813334682315,7250.0,549.8133346823148
初始资金C0,9000,204,204,5940,0.9884,6489.813334682315,6250.0,549.8133346823148
初始资金C0,9500,204,204,6440,0.9884,6989.813334682315,6750.0,549.8133346823148
初始资金C0,10500,204,204,7440,0.9884,7989.813334682315,7750.0,549.8133346823148
初始资金C0,11000,204,204,7940,0.9884,8489.813334682314,8250.0,549.8133346823148
挖矿收益R,900,204,204,6940,0.9884,7489.813334682315,7250.0,549.8133346823148
挖矿收益R,950,204,204,6940,0.9884,7489.813334682315,7250.0,549.8133346823148
挖矿收益R,1050,204,204,6940,0.9884,7489.813334682315,7250.0,549.8133346823148
挖矿收益R,1100,204,204,6940,0.9884,7489.813334682315,7250.0,549.8133346823148
截止日T,28,204,204,6940,0.9907,7487.997880286666,7245.0,547.997880286666
截止日T,29,204,204,6940,0.9903,7490.1908512571945,7245.0,550.1908512571948
截止日T,31,204,204,6940,0.9911,7487.844818888104,7245.0,547.8448188881041
截止日T,32,204,204,6940,0.9919,7491.192660550459,7250.0,551.1926605504588
